"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"10379","S","スマスロ鉄拳6","Lパチスロ鉄拳6YD01H",,"L鉄拳6","山佐","6.5号機","AT","5S1078","2026/1/5","1","0","1"
"10378","P","P少女☆歌劇 レヴュースタァライト 99 LT3000","P少女歌劇レヴュースタァライトV3",,"スタァライト99 LT3000","豊丸",,"甘デジ","510041","2025/12/22","0","0","1"
"10377","P","P【超甘LT】この素晴らしい世界に祝福を! 最終クエスト1/49","Pこの素晴らしい世界に祝福を!AX2",,"このすば 1/49","豊丸",,"甘デジ","4P1505","2025/12/8","0","0","1"
"10376","S","L 絶対衝激IV","L絶対衝激フォースFH",,"L絶対衝激IV","アイドル","6.5号機","AT","5S0676","2025/11/4","1","0","1"
"10375","S","ニューキングハナハナV-30","SBニューキングハナハナVPA-30",,"ニューキングハナハナV-30","パイオニア","6.5号機","A","530665","2026/1/5","0","0","1"
"10374","S","スマート沖スロ ニューキングハナハナV","LBニューキングハナハナVPF",,"ニューキングハナハナV","パイオニア","6.5号機","A","5S1036","2026/1/5","1","0","1"
"10373","P","e花の慶次～黄金の一撃","e花の慶次~黄金の一撃H4",,"e花の慶次～黄金の一撃","ニューギン",,"その他","510448","2025/11/4","1","0","1"
"10372","S","プリズムナナ","LプリズムナナCC",,"プリズムナナ","カルミナ","6.5号機","AT","5S0937","2025/12/8","1","0","1"
"10371","P","e 盾の勇者の成り上がり アルティメット199ver.","e盾の勇者の成り上がりEREF",,"e盾の勇者 199ver.","サミー",,"ライトミドル","5P0814","2026/1/5","1","0","1"
"10370","S","スマスロ 北斗の拳 転生の章2","L スマスロ北斗の拳 転生の章2 MW",,"L北斗転生2","サミー","6.5号機","AT","5S1206","2026/1/5","1","0","1"
"10369","P","P沖ドキ!ドキドキ弾丸ツアー","P沖ドキ!LG",,"P沖ドキ!ドキドキ弾丸ツアー","メーシー",,"その他","4P1855","2025/12/22","0","0","1"
"10368","S","スマスロ 沖ドキ!DUO アンコール","L/オキドキデュオ2/FR",,"L沖ドキDUOアンコール","メーシー","6.5号機","AT","530412","2025/12/22","1","0","1"
"10367","P","P転生したらスライムだった件129ver.","P転生したらスライムだった件ARJ",,"P転スラ","サンセイR&D",,"ライトミドル","4P1110","2025/11/4","0","0","1"
"10366","P","eうしおととら～神のせSPEC～399ver.","eうしおととら~月と太陽~FM-JF",,"eうしおととら～神のせSPEC～399ver.","D-light",,"その他","510480","2025/12/8","1","0","1"
"10365","P","eうしおととら～神のせSPEC～150ver.","eうしおととら~月と太陽~FH-FH",,"eうしおととら～神のせSPEC～150ver.","D-light",,"ライトミドル","5P0960","2025/12/8","1","0","1"
"10364","P","P Re:ゼロから始める異世界生活 鬼がかり 99ver.","P/Re:ゼロから始める異世界生活鬼がかりver/A03",,"P Re:ゼロ 鬼がかり 99ver.","大都技研",,"甘デジ","4P1603","2025/11/4","0","0","1"
"10363","P","P Re:ゼロから始める異世界生活 鬼がかり 199ver.","P/Re:ゼロから始める異世界生活鬼がかりver/L07",,"P Re:ゼロ 鬼がかり 199ver.","大都技研",,"ライトミドル","4P1703","2025/11/4","0","0","1"
"10362","P","e 仮面ライダー電王 デカヘソ239","e仮面ライダー電王-239verK2",,"e 仮面ライダー電王239","京楽",,"ライトミドル","5P0702","2025/11/4","1","0","1"
"10361","S","SHAKE BONUS TRIGGER","LB/シェイクボーナストリガー/A1",,"SHAKE BT","大都技研","6.5号機","A","530293","2025/10/20","1","0","1"
"10360","S","L 荒野のコトブキ飛行隊","L荒野のコトブキ飛行隊SS",,"Lコトブキ","スパイキー","6.5号機","AT","5S0846","2025/10/20","1","0","1"
"10359","P","e 北斗の拳11 暴凶星","e北斗の拳11暴凶星SHEF",,"e 北斗の拳11 暴凶星","サミー",,"その他","5P1070","2025/12/8","1","0","1"
"10358","S","スマスロ 化物語","L スマスロ化物語 KH",,"L化物語","サミー","6.5号機","AT","530641","2025/12/8","1","0","1"
"10357","P","PA海物語 極JAPAN Withナギナミ","PA海物語極ジャパンHBD",,"PA海物語 極JAPAN Withナギナミ","三洋物産",,"甘デジ","5P0531","2025/12/8","0","0","1"
"10356","P","Pゴッドイーター199ゴッドトリガーVER.","PLTゴッドイーター199VER-ARB",,"LTゴッドイーター199","サンセイR&D",,"ライトミドル","510086","2025/10/20","0","0","1"
"10355","S","銀河英雄伝説 Die Neue These","LノイエギンエイデンGH",,"Lノイエギンエイデン","コナミアミューズメント","6.5号機","AT","530420","2025/12/8","1","0","1"
"10354","S","スマスロ とある科学の超電磁砲2","Lとある科学の超電磁砲2FV",,"Lレールガン2","藤商事","6.5号機","AT","530447","2025/11/4","1","0","1"
"10353","P","e 新世紀エヴァンゲリオン ～はじまりの記憶～","e新世紀エヴァンゲリオン17 はじまりの記憶R",,"eエヴァ ～はじまりの記憶～","ビスティ",,"その他","5P0685","2025/12/22","1","0","1"
"10352","S","Lパチスロ 革命機ヴァルヴレイヴ2","L革命機ヴァルヴレイヴ2jF",,"Lヴァルヴレイヴ2","SANKYO","6.5号機","AT","5S0736","2025/11/4","1","0","1"
"10351","S","バーニングエクスプレス","LバーニングエクスプレスZN",,"Lバーニングエクスプレス","北電子","6.5号機","AT","5S0259","2025/12/1","1","0","1"
